Date,Curah Hujan Johor_MY,Curah Hujan Kalbar_ID,Curah Hujan Kalteng_ID,Curah Hujan Pahang_MY,Curah Hujan Riau_ID,Curah Hujan Sabah_MY,Curah Hujan Sarawak_MY,Curah Hujan Sumut_ID
2016-02-22,0.41,8.67,19.54,0.02,0.55,0.03,2.8,0.84
2016-02-23,1.06,21.31,7.62,3.97,2.01,0.06,15.01,34.87
2016-02-24,20.52,23.94,37.15,3.3,5.99,1.85,10.53,13.63
2016-02-25,2.66,12.28,31.62,0.03,2.25,1.16,1.99,5.02
2016-02-26,0.17,17.9,25.71,1.56,0.04,0.18,8.43,0.67
2016-02-29,0.49,9.42,15.16,0.33,3.91,0.03,4.74,16.27
2016-03-01,1.07,34.8,6.4,0.56,1.13,0.02,11.73,6.71
2016-03-02,0.5,13.23,11.52,0.07,0.34,1.73,21.25,9.95
2016-03-03,0.26,22.76,1.09,0.0,0.03,1.96,9.95,0.91
2016-03-04,1.05,42.86,10.52,3.88,2.79,0.87,4.51,0.54
2016-03-07,2.63,14.79,10.8,0.16,3.08,1.79,20.44,65.42
2016-03-08,2.24,11.53,8.84,0.03,0.31,2.44,2.5,12.22
2016-03-09,0.62,9.95,7.18,0.01,0.39,1.1,15.43,9.98
2016-03-10,1.68,7.8,7.75,8.77,1.39,1.16,4.85,8.57
2016-03-11,1.9,30.06,23.28,6.45,10.38,1.56,5.92,4.11
2016-03-14,1.11,1.52,7.14,2.4,11.99,4.68,13.54,39.67
2016-03-15,0.05,17.38,13.07,0.78,12.61,3.78,26.49,10.04
2016-03-16,0.01,7.14,9.65,0.0,15.96,0.34,2.01,1.75
2016-03-17,0.0,1.55,1.18,0.34,2.13,0.05,8.89,14.3
2016-03-18,5.61,2.56,2.16,0.14,1.2,0.01,4.5,10.92
2016-03-21,0.71,18.96,8.67,0.08,48.95,1.69,0.2,82.79
2016-03-22,0.91,27.06,40.9,2.92,35.68,0.79,3.75,36.07
2016-03-23,0.31,8.82,57.7,0.5,3.89,0.01,6.2,2.84
2016-03-24,0.16,0.85,8.95,0.54,1.41,12.91,12.1,31.34
2016-03-28,0.54,16.04,5.4,10.23,2.61,0.0,5.14,0.42
2016-03-29,0.33,53.13,10.19,0.23,12.26,0.0,6.9,1.1
2016-03-30,0.18,3.08,8.42,0.0,6.51,1.99,1.58,0.13
2016-03-31,0.34,0.19,2.19,3.0,0.28,4.29,3.36,13.58
2016-04-01,0.1,21.71,16.97,1.15,0.08,2.03,4.96,12.86
2016-04-04,3.52,3.51,3.44,0.35,9.68,7.28,25.34,10.3
2016-04-05,3.44,13.18,37.52,10.87,3.67,7.44,3.61,7.81
2016-04-06,0.56,8.27,27.96,7.9,21.35,0.56,0.75,2.54
2016-04-07,0.01,9.44,3.14,2.14,13.96,0.0,2.19,10.57
2016-04-08,0.29,15.2,5.88,0.48,4.84,0.52,7.28,24.93
2016-04-11,1.64,17.76,15.2,2.96,40.33,6.1,0.64,90.9
2016-04-12,2.18,22.0,24.6,0.12,5.39,11.96,3.88,3.84
2016-04-13,4.9,7.58,13.67,2.36,0.77,7.66,3.76,4.54
2016-04-14,5.25,5.75,6.01,4.06,7.79,3.03,1.7,1.72
2016-04-15,5.22,1.81,9.86,4.07,9.11,1.0,2.9,0.2
2016-04-18,0.32,8.3,12.22,0.09,10.06,5.45,7.85,2.9
2016-04-19,0.41,3.1,3.01,0.02,4.05,5.61,2.62,1.15
2016-04-20,0.92,10.35,27.43,0.33,4.38,2.2,4.44,6.7
2016-04-21,0.49,19.95,31.96,0.09,2.03,0.06,11.83,3.36
2016-04-22,2.43,5.62,11.8,0.16,0.77,0.95,0.33,3.61
2016-04-25,6.63,14.82,24.74,5.43,11.85,0.21,2.1,7.21
2016-04-26,3.33,41.9,20.28,8.44,1.76,2.75,14.02,3.07
2016-04-27,3.03,1.82,2.09,1.17,0.07,11.1,25.1,0.44
2016-04-28,3.35,3.86,0.49,1.21,3.58,10.11,30.38,0.3
2016-04-29,7.19,7.39,18.5,9.06,8.54,5.54,9.25,14.14
2016-05-03,1.92,12.04,0.96,9.21,1.05,7.29,5.27,5.57
